財務データのあるNPO法人 収入ランキング（2324団体）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
順位,法人名,"総収入
(百万円)",ステージ,"寄付+会費
(百万円)","寄付+会費比
(%)","受取寄附金
(百万円)","受取会費
(百万円)","受取助成金等
(百万円)","事業収益
(百万円)","経常費用
(百万円)",有給職員数,事業年度,認定状況,団体所在地(都道府県),活動分野
1067,ＮＰＯ法人ＵＡＰＡＣＡＡ国際保全パートナーズ,18.4,1千万～,12.4,67.1,12.1,0.2,6.1,0.0,15.0,1,2024,○,神奈川県,学術・文化・芸術・スポーツ、環境の保全、国際協力・交流
1068,特定非営利活動法人はりま総合福祉評価センター,18.4,1千万～,0.2,1.3,0.0,0.2,0.0,18.2,17.9,,2024,○,兵庫県,保健・医療・福祉
1069,地域支え合いネット,18.4,1千万～,0.2,1.2,0.1,0.2,0.0,18.2,20.9,,2024,○,長野県,保健・医療・福祉、社会教育、子どもの健全育成、職業能力・雇用機会
1070,特定非営利活動法人Mt.Fuji Wood Culture Society,18.3,1千万～,0.5,2.8,0.5,0.0,0.0,17.5,18.5,,2024,○,山梨県,社会教育、まちづくり、観光、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、NPO支援
1071,ＮＰＯ法人れんげ草,18.2,1千万～,0.3,1.7,0.1,0.2,14.6,3.3,18.6,2,2024,,愛媛県,保健・医療・福祉
1072,特定非営利活動法人フィリピン日系人支援の会,18.2,1千万～,18.1,99.8,0.0,18.1,0.0,0.0,18.9,,2023,,千葉県,社会教育、まちづくり、地域安全、人権の擁護・平和、国際協力・交流、子どもの健全育成
1073,特定非営利活動法人盛岡ユースセンター,18.1,1千万～,4.4,24.0,4.3,0.0,0.0,13.3,16.5,,2024,○,岩手県,社会教育、まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
1074,特定非営利活動法人　たすけあい末広,18.1,1千万～,0.0,0.0,0.0,0.0,0.0,18.1,17.1,4,2018,,徳島県,保健・医療・福祉、社会教育、まちづくり
1075,特定非営利活動法人訪問理美容ネットワークゆうゆう,18.0,1千万～,0.0,0.2,0.0,0.0,3.2,14.7,19.2,2,2017,,高知県,保健・医療・福祉
1076,アマミーナ,17.9,1千万～,0.4,2.0,0.0,0.4,0.0,17.5,17.4,,2011,,鹿児島県,社会教育、学術・文化・芸術・スポーツ、子どもの健全育成、NPO支援
1077,特定非営利活動法人　小田原なぎさ会,17.8,1千万～,0.7,3.7,0.4,0.3,16.4,0.7,17.4,,2024,○,神奈川県,保健・医療・福祉、NPO支援
1078,特定非営利活動法人わいわいネットなかま,17.7,1千万～,0.7,3.9,0.6,0.1,1.0,15.7,15.2,,2017,,京都府,保健・医療・福祉、まちづくり、人権の擁護・平和
1079,ゆいネット輝北,17.7,1千万～,0.1,0.7,0.1,0.0,0.0,17.6,17.1,2,2011,,鹿児島県,保健・医療・福祉
1080,おはなしころりん,17.7,1千万～,1.4,8.1,0.9,0.5,6.0,10.2,18.6,,2024,○,岩手県,社会教育、まちづくり、観光、学術・文化・芸術・スポーツ、災害救援、地域安全、人権の擁護・平和、国際協力・交流、子どもの健全育成、情報化社会、職業能力・雇用機会、NPO支援
1081,特定非営利活動法人　Ｌｉｎｋ・マネジメント,17.7,1千万～,0.2,1.0,0.1,0.1,0.0,17.5,13.5,,2024,○,相模原市,保健・医療・福祉
1082,特定非営利活動法人オールハッピー,17.6,1千万～,0.0,0.0,0.0,0.0,0.0,17.6,17.6,4,2022,,福岡市,保健・医療・福祉、職業能力・雇用機会
1083,特定非営利活動法人ユーアイネット柏原,17.5,1千万～,3.7,21.4,1.5,2.3,0.3,13.5,15.3,,2024,○,埼玉県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、地域安全、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
1084,特定非営利活動法人  まちづくりスポット茅ヶ崎,17.5,1千万～,15.0,85.3,14.6,0.4,0.5,2.1,17.5,3,2024,○,神奈川県,保健・医療・福祉、まちづくり、学術・文化・芸術・スポーツ、環境の保全、地域安全、男女共同参画、子どもの健全育成、経済活動の活性化、NPO支援
1085,特定非営利活動法人　壮生,17.5,1千万～,0.3,1.4,0.0,0.3,0.2,17.0,16.7,1,2021,,徳島県,保健・医療・福祉、まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成、情報化社会、職業能力・雇用機会
1086,認定特定非営利活動法人京都自死・自殺相談センター,17.5,1千万～,12.3,70.3,11.7,0.6,4.1,1.1,16.2,,2024,○,京都市,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、子どもの健全育成、NPO支援
1087,特定非営利活動法人Ｋａｃｏｔａｍ,17.5,1千万～,9.2,52.4,9.2,0.0,1.0,7.0,18.0,,2024,○,札幌市,まちづくり、子どもの健全育成
1088,特定非営利活動法人えんぱわめんと堺／ＥＳ,17.5,1千万～,0.3,1.6,0.0,0.2,0.0,17.2,17.0,11,2017,,堺市,社会教育、人権の擁護・平和、男女共同参画、子どもの健全育成
1089,特定非営利活動法人ゆいネット北海道,17.5,1千万～,3.7,21.1,3.6,0.1,0.0,13.7,15.0,,2024,○,札幌市,保健・医療・福祉、人権の擁護・平和、男女共同参画、子どもの健全育成、NPO支援
1090,ＮＰＯ法人こころ・コミュニケーションの発達支援,17.4,1千万～,1.4,8.3,1.4,0.0,0.5,15.5,14.4,4,2013,,熊本県,保健・医療・福祉、社会教育、子どもの健全育成
1091,特定非営利活動法人日本災害救援ボランティアネットワーク,17.4,1千万～,10.9,63.1,10.3,0.6,2.8,3.6,17.3,,2024,○,兵庫県,まちづくり、観光、農山漁村・中山間地域、災害救援、地域安全、子どもの健全育成、NPO支援
1092,特定非営利活動法人コロロの会,17.4,1千万～,0.2,0.9,0.0,0.1,0.1,17.1,16.6,3,2024,,福島県,保健・医療・福祉、社会教育、子どもの健全育成
1093,特定非営利活動法人CAIT　SITH,17.3,1千万～,4.0,23.0,3.5,0.5,0.4,13.0,11.9,,2023,○,横浜市,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、NPO支援
1094,ＮＰＯ法人エンジェルス,17.3,1千万～,0.0,0.3,0.0,0.0,0.0,17.2,18.6,2,2017,,大阪府,保健・医療・福祉
1095,特定非営利活動法人フォレスト,17.2,1千万～,0.0,0.0,0.0,0.0,0.0,16.7,17.2,,2018,,神戸市,
1096,全国ストップ・ザ・ロコモ協議会,17.2,1千万～,0.0,0.1,0.0,0.0,0.0,0.5,11.1,,unknown,○,東京都,保健・医療・福祉、学術・文化・芸術・スポーツ、NPO支援
1097,特定非営利活動法人　あさお市民活動サポートセンター,17.2,1千万～,0.4,2.3,0.0,0.4,11.9,4.9,16.8,,2024,○,川崎市,まちづくり、NPO支援
1098,特定非営利活動法人ハートリンクワーキングプロジェクト,17.2,1千万～,13.8,80.5,12.4,1.4,0.0,3.3,13.8,,2024,○,新潟市,保健・医療・福祉、子どもの健全育成、職業能力・雇用機会、NPO支援
1099,特定非営利活動法人夢街道国際交流子ども館,17.1,1千万～,6.9,40.1,6.4,0.5,0.6,9.3,16.7,,2024,○,京都府,国際協力・交流、子どもの健全育成
1100,特定非営利活動法人  ワーカーズ・コレクティブこだま,17.1,1千万～,0.0,0.0,0.0,0.0,0.3,16.8,16.0,2,2017,,神奈川県,保健・医療・福祉
1101,特定非営利活動法人ヒューマン地域振興協会,17.1,1千万～,0.0,0.0,0.0,0.0,2.3,14.8,19.7,,2024,,大阪市,まちづくり
1102,マドレボニータ,17.0,1千万～,0.6,3.8,0.0,0.6,0.9,1.4,0.0,,unknown,○,東京都,保健・医療・福祉、男女共同参画、子どもの健全育成、職業能力・雇用機会、NPO支援
1103,認定特定非営利活動法人やまぐち発達臨床支援センター,17.0,1千万～,1.5,9.1,0.8,0.8,0.0,15.4,17.1,,2024,○,山口県,保健・医療・福祉、まちづくり、子どもの健全育成
1104,特定非営利活動法人パラキャン,16.9,1千万～,2.4,14.3,2.4,0.1,3.9,10.2,17.5,,2024,○,千葉県,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、子どもの健全育成、職業能力・雇用機会
1105,特定非営利活動法人新潟絵屋,16.9,1千万～,1.6,9.5,1.3,0.3,0.1,15.1,0.0,,2024,○,新潟市,学術・文化・芸術・スポーツ
1106,特定非営利活動法人　元気クラブいかるが,16.8,1千万～,14.2,84.0,14.1,0.0,0.3,2.2,9.0,3,2012,,奈良県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成、情報化社会、NPO支援
1107,ＮＰＯ法人さこんやまキッズクラブ,16.8,1千万～,0.0,0.0,0.0,0.0,15.2,1.6,16.8,3,2019,,横浜市,子どもの健全育成
1108,ケニア・コイノニア友の会ジャパン,16.8,1千万～,0.0,0.0,0.0,0.0,0.0,15.8,17.6,,unknown,○,東京都,人権の擁護・平和、国際協力・交流、子どもの健全育成、職業能力・雇用機会
1109,すかい,16.8,1千万～,4.7,28.0,4.7,0.0,0.0,12.0,0.0,,2017,,浜松市,保健・医療・福祉、社会教育、男女共同参画、子どもの健全育成、NPO支援
1110,特定非営利活動法人ひばり,16.7,1千万～,0.4,2.5,0.2,0.2,0.0,16.3,16.5,5,2021,,滋賀県,
1111,ＮＰＯ法人つなぐ,16.7,1千万～,1.0,5.7,0.3,0.7,5.1,10.6,0.0,,2024,○,横浜市,保健・医療・福祉、まちづくり、人権の擁護・平和
1112,特定非営利活動法人信濃川大河津資料館友の会,16.7,1千万～,1.0,6.1,0.0,1.0,0.0,15.6,15.8,,2022,,新潟県,社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、災害救援、子どもの健全育成、NPO支援
1113,特定非営利活動法人アバンセ,16.5,1千万～,0.0,0.0,0.0,0.0,0.0,16.5,14.0,2,2018,,兵庫県,保健・医療・福祉、社会教育、まちづくり、子どもの健全育成、NPO支援
1114,特定非営利活動法人艮陵協議会,16.5,1千万～,9.3,56.3,0.1,9.1,0.6,6.6,13.9,2,2017,,仙台市,保健・医療・福祉
1115,認定特定非営利活動法人　スペシャルオリンピックス日本・熊本,16.4,1千万～,2.2,13.4,1.0,1.2,0.1,0.0,17.1,,2024,○,熊本市,保健・医療・福祉、社会教育、まちづくり、観光、学術・文化・芸術・スポーツ、人権の擁護・平和、国際協力・交流、子どもの健全育成、NPO支援
1116,豊栄ひっとべ会,16.4,1千万～,0.7,4.2,0.3,0.3,15.5,0.0,17.2,0,2011,,鹿児島県,まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成、経済活動の活性化、NPO支援
1117,特定非営利活動法人Ｎ・Ｃさくら会,16.3,1千万～,5.6,34.6,1.3,4.3,0.0,10.4,17.3,16,2024,,千葉県,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、環境の保全、地域安全、国際協力・交流、男女共同参画、子どもの健全育成、NPO支援
1118,特定非営利活動法人北海道障がい者乗馬センター,16.3,1千万～,5.0,30.8,4.5,0.5,0.0,6.8,13.7,,2024,○,札幌市,
1119,特定非営利活動法人千葉県就労支援事業者機構,16.3,1千万～,4.8,29.5,0.5,4.3,3.5,7.9,15.2,,2024,○,千葉市,社会教育、地域安全、子どもの健全育成、職業能力・雇用機会、NPO支援
1120,特定非営利活動法人上賀茂神経リハビリテーション教育研究センター,16.3,1千万～,7.7,47.2,7.7,0.0,0.0,7.6,24.5,,2024,○,京都市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、男女共同参画、子どもの健全育成、職業能力・雇用機会
1121,特定非営利活動法人ゆら・ら,16.2,1千万～,0.0,0.1,0.0,0.0,0.0,16.2,18.0,,2018,,高知県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、職業能力・雇用機会
1122,特定非営利活動法人緑と水の連絡会議,16.2,1千万～,4.1,25.1,4.0,0.1,0.4,11.7,12.9,,2022,○,島根県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、情報化社会、科学技術、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援、条例指定
1123,特定非営利活動法人　青少年の自立を支える奈良の会,16.2,1千万～,2.0,12.2,1.7,0.2,13.0,1.2,16.6,6,2016,,奈良県,保健・医療・福祉、社会教育、人権の擁護・平和、男女共同参画、子どもの健全育成、NPO支援
1124,ベトナム簿記普及推進協議会,16.1,1千万～,15.0,93.0,15.0,0.0,0.0,0.0,15.8,2,2025,○,東京都,国際協力・交流、経済活動の活性化、職業能力・雇用機会、NPO支援
1125,特定非営利活動法人がんとむきあう会,16.1,1千万～,0.0,0.0,0.0,0.0,82.2,2.1,0.0,,2024,○,石川県,保健・医療・福祉、社会教育、まちづくり、NPO支援
1126,幡ヶ谷再生大学復興再生部,16.1,1千万～,8.8,54.8,8.8,0.0,0.0,7.3,15.3,,unknown,○,東京都,保健・医療・福祉、災害救援、地域安全、NPO支援
1127,NPO法人ウィメンズスペースふくしま,16.1,1千万～,0.8,4.8,0.8,0.0,0.0,0.1,16.2,,2024,○,福島県,社会教育、まちづくり、人権の擁護・平和、男女共同参画、子どもの健全育成、職業能力・雇用機会、条例指定
1128,特定非営利活動法人埼玉太極拳協会,15.9,1千万～,6.5,40.9,0.0,6.5,0.0,9.4,15.2,2,2021,,さいたま市,社会教育、学術・文化・芸術・スポーツ、国際協力・交流
1129,特定非営利活動法人光と風と夢,15.9,1千万～,1.0,6.6,1.0,0.1,0.0,8.3,0.0,2,2016,○,千葉県,保健・医療・福祉、社会教育、まちづくり、農山漁村・中山間地域、地域安全、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
1130,特定非営利活動法人　ＷＥ２１ジャパンこうほく,15.8,1千万～,0.3,1.7,0.2,0.1,0.0,15.1,15.9,,2024,○,横浜市,環境の保全、人権の擁護・平和、国際協力・交流、NPO支援
1131,特定非営利活動法人　愛夢,15.8,1千万～,0.1,0.3,0.0,0.1,1.5,1.5,11.8,2,2021,,横浜市,学術・文化・芸術・スポーツ、環境の保全
1132,特定非営利活動法人静岡県就労支援事業者機構,15.8,1千万～,8.5,53.7,6.0,2.5,1.1,6.3,15.9,2,2019,○,静岡市,社会教育、地域安全、子どもの健全育成、職業能力・雇用機会、NPO支援
1133,東京都日本中国友好協会,15.8,1千万～,-0.3,-1.7,0.1,-0.4,0.2,-0.9,0.8,,unknown,○,東京都,災害救援、国際協力・交流
1134,まちづくりスポット恵み野,15.7,1千万～,13.1,82.9,13.0,0.1,0.4,2.2,14.0,,2024,○,北海道,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、情報化社会、科学技術、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
1135,ライフデザイン花巻,15.7,1千万～,0.1,0.9,0.0,0.1,3.9,11.0,21.4,3,2021,,岩手県,まちづくり、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、経済活動の活性化
1136,特定非営利活動法人　フードバンク湘南,15.7,1千万～,8.5,54.3,4.1,4.4,7.1,0.0,12.1,,2024,○,神奈川県,保健・医療・福祉、環境の保全、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
1137,特定非営利活動法人まちづくりスポット稲毛,15.7,1千万～,10.6,67.7,10.2,0.4,0.2,4.9,14.5,7,2024,○,千葉市,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、情報化社会、科学技術、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
1138,特定非営利活動法人所沢障害者デイクラブ,15.7,1千万～,1.1,7.3,0.8,0.3,13.4,1.0,15.6,2,2024,,埼玉県,保健・医療・福祉、社会教育、まちづくり、人権の擁護・平和
1139,かぬま市民活動サポーターズ,15.5,1千万～,0.1,0.5,0.0,0.1,0.0,12.9,12.7,3,2020,,栃木県,保健・医療・福祉、社会教育、まちづくり、農山漁村・中山間地域、環境の保全、地域安全、子どもの健全育成、情報化社会、NPO支援
1140,特定非営利活動法人静岡犯罪被害者支援センター,15.5,1千万～,11.0,70.7,6.9,4.1,0.6,0.0,15.3,3,2021,○,静岡市,地域安全、人権の擁護・平和
1141,特定非営利活動法人とす市民活動ネットワーク,15.4,1千万～,2.2,14.1,1.8,0.4,8.9,4.1,16.9,2,2024,○,佐賀県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、情報化社会、科学技術、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
1142,特定非営利活動法人福井芸術文化フォーラム,15.4,1千万～,0.3,2.2,0.1,0.2,11.6,3.4,15.1,,2024,,福井県,社会教育、まちづくり、学術・文化・芸術・スポーツ、国際協力・交流、子どもの健全育成、NPO支援
1143,ＮＰＯ法人　鎌倉市市民活動センター運営会議,15.4,1千万～,0.8,4.9,0.1,0.6,0.0,14.6,14.6,,2024,○,神奈川県,社会教育、まちづくり、NPO支援
1144,特定非営利活動法人白神自然学校一ツ森校,15.3,1千万～,0.6,3.7,0.5,0.1,11.4,3.2,15.2,,2018,,青森県,社会教育、まちづくり、観光、農山漁村・中山間地域、環境の保全、子どもの健全育成
1145,かごしま子どもと自然研究所,15.3,1千万～,0.0,0.2,0.0,0.0,1.0,13.6,16.8,2,2021,,鹿児島県,社会教育、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、NPO支援
1146,ＮＰＯ法人手健会,15.2,1千万～,0.2,1.1,0.0,0.2,0.0,15.0,12.7,,2021,,大阪市,保健・医療・福祉、職業能力・雇用機会、NPO支援
1147,特定非営利活動法人テダス,15.2,1千万～,0.5,3.2,0.4,0.1,0.0,14.7,11.0,4,2024,,京都府,まちづくり、NPO支援
1148,特定非営利活動法人消費者支援機構関西,15.1,1千万～,12.1,80.2,0.0,12.1,0.3,2.4,12.4,,2024,○,大阪市,消費者の保護、NPO支援
1149,ＮＰＯ法人東大阪障害者共同受注連絡会,15.1,1千万～,0.2,1.6,0.0,0.2,0.0,14.7,13.0,0,2020,,大阪府,保健・医療・福祉
1150,特定非営利活動法人赤ちゃんのほっぺ,15.1,1千万～,1.3,8.3,1.2,0.0,0.1,13.9,15.5,0,2023,,千葉県,子どもの健全育成、NPO支援
1151,特定非営利活動法人子ども劇場千葉県センター,15.0,1千万～,4.9,32.8,3.8,1.1,7.9,2.1,15.7,2,2024,,千葉市,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成、NPO支援
1152,じゃがいものおうち,14.9,1千万～,0.0,0.0,0.0,0.0,0.0,0.0,18.2,,2011,,鹿児島県,保健・医療・福祉、まちづくり
1153,特定非営利活動法人大阪狭山アクティブエイジング,14.9,1千万～,0.0,0.2,0.0,0.0,1.6,13.3,14.5,20,2019,,大阪府,保健・医療・福祉、まちづくり、NPO支援
1154,ふれあいサポートちゃてぃず,14.9,1千万～,1.2,8.2,0.6,0.6,0.1,13.9,13.9,7,2017,,岡山県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、国際協力・交流、子どもの健全育成、NPO支援
1155,ハンセン病療養所世界遺産登録推進協議会,14.9,1千万～,4.2,28.1,3.7,0.5,10.5,0.0,13.6,1,2024,,岡山県,社会教育、まちづくり、観光、学術・文化・芸術・スポーツ、環境の保全、人権の擁護・平和、国際協力・交流、子どもの健全育成、NPO支援
1156,特定非営利活動法人兵庫県難聴者福祉協会,14.9,1千万～,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021,,兵庫県,保健・医療・福祉、NPO支援
1157,特定非営利活動法人せらび,14.8,1千万～,0.2,1.1,0.1,0.1,0.3,14.1,18.8,4,2023,,大阪府,保健・医療・福祉、職業能力・雇用機会
1158,特定非営利活動法人　ＷＥ２１ジャパン藤沢,14.8,1千万～,0.2,1.2,0.1,0.1,0.0,12.5,0.0,,2024,○,神奈川県,環境の保全、人権の擁護・平和、国際協力・交流、NPO支援
1159,金融知力普及協会,14.8,1千万～,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,unknown,○,東京都,社会教育、子どもの健全育成
1160,特定非営利活動法人札幌室内歌劇場,14.8,1千万～,4.3,29.0,1.0,3.3,0.0,10.2,0.0,1,2017,,札幌市,学術・文化・芸術・スポーツ
1161,特定非営利活動法人　湘南ふじさわシニアネット,14.8,1千万～,2.5,17.1,1.2,1.3,1.4,10.9,14.5,,2024,○,神奈川県,保健・医療・福祉、まちづくり、環境の保全、国際協力・交流、子どもの健全育成、情報化社会、経済活動の活性化、NPO支援
1162,特定非営利活動法人のらんど,14.8,1千万～,0.2,1.1,0.1,0.1,12.6,2.0,14.7,,2018,,さいたま市,保健・医療・福祉、社会教育、まちづくり、環境の保全、人権の擁護・平和、子どもの健全育成、職業能力・雇用機会
1163,特定非営利活動法人しらゆり会,14.7,1千万～,0.0,0.0,0.0,0.0,0.0,14.7,0.0,,2019,,兵庫県,保健・医療・福祉、NPO支援
1164,特定非営利活動法人大阪障害者雇用支援ネットワーク,14.7,1千万～,1.7,11.9,0.7,1.0,0.0,9.0,13.0,,2024,○,大阪市,保健・医療・福祉
1165,フードバンクうつのみや,14.7,1千万～,11.2,76.0,9.5,1.7,3.5,0.0,14.6,,2024,○,栃木県,保健・医療・福祉、社会教育、環境の保全、災害救援、職業能力・雇用機会、消費者の保護、NPO支援
1166,特定非営利活動法人ＷＥ２１ジャパン相模原,14.6,1千万～,0.2,1.2,0.1,0.1,0.0,14.2,15.2,,2024,○,相模原市,環境の保全、人権の擁護・平和、国際協力・交流、NPO支援
1167,子どもと文化のひろば　ぷれいおん・とかち,14.5,1千万～,4.1,28.1,1.2,2.9,1.8,8.6,14.4,,2024,○,北海道,社会教育、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、子どもの健全育成
1168,成年後見もやい,14.5,1千万～,1.9,12.8,0.4,1.5,0.0,12.5,10.6,1,2022,○,名古屋市,保健・医療・福祉、社会教育、人権の擁護・平和
1169,特定非営利活動法人　子ども・宇宙・未来の会,14.5,1千万～,2.5,17.5,0.3,2.2,1.2,10.7,16.2,,2024,○,相模原市,学術・文化・芸術・スポーツ、子どもの健全育成、科学技術、NPO支援
1170,特定非営利活動法人スペシャルオリンピックス日本・大阪,14.4,1千万～,2.0,13.6,1.8,0.2,0.5,11.9,13.8,4,2018,○,大阪市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、子どもの健全育成、NPO支援
1171,特定非営利活動法人サッポロＱＭＳ,14.3,1千万～,0.7,5.1,0.1,0.6,0.0,13.6,10.5,,2024,○,札幌市,まちづくり、経済活動の活性化
1172,高鍋町観光協会,14.3,1千万～,3.0,20.9,1.5,1.5,10.9,0.1,14.0,,2024,○,宮崎県,社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、国際協力・交流、子どもの健全育成、情報化社会、経済活動の活性化、職業能力・雇用機会、NPO支援
1173,教育プラットフォーム北海道,14.3,1千万～,0.0,0.1,0.0,0.0,0.0,14.1,14.5,1,2011,,北海道,社会教育、まちづくり、環境の保全、国際協力・交流、子どもの健全育成
1174,江戸城天守を再建する会,14.2,1千万～,0.9,6.2,0.9,0.0,0.0,0.0,0.0,,unknown,○,東京都,まちづくり、観光、学術・文化・芸術・スポーツ、国際協力・交流、経済活動の活性化、NPO支援
1175,聖地のこどもを支える会,14.2,1千万～,9.5,66.9,2.2,7.3,0.3,4.4,13.4,3,2015,,東京都,人権の擁護・平和、国際協力・交流、子どもの健全育成
1176,特定非営利活動法人未来といのち,14.1,1千万～,7.2,50.9,7.1,0.1,6.9,0.0,14.4,,2024,○,福島県,保健・医療・福祉、社会教育、災害救援
1177,特定非営利活動法人四万十市への移住を支援する会,14.1,1千万～,0.0,0.0,0.0,0.0,0.0,14.1,14.1,2,2022,,高知県,まちづくり、経済活動の活性化、職業能力・雇用機会
1178,NPO法人ユナイテッド・ケア,13.8,1千万～,0.0,0.1,0.0,0.0,0.0,13.6,28.7,3,2024,,滋賀県,保健・医療・福祉、社会教育、まちづくり、災害救援、地域安全、子どもの健全育成、職業能力・雇用機会、NPO支援
1179,特定非営利活動法人すみれ,13.8,1千万～,0.1,0.4,0.0,0.1,0.0,13.7,13.3,3,2016,,福岡県,保健・医療・福祉、まちづくり
1180,特定非営利活動法人Ｅｓｐｅｒａｎｚａ,13.8,1千万～,0.0,0.0,0.0,0.0,0.0,0.0,13.8,1,2017,,大阪市,保健・医療・福祉、社会教育、まちづくり
1181,特定非営利活動法人こうのとりのゆりかごin関西,13.7,1千万～,13.3,97.0,11.0,2.4,0.4,0.0,12.1,1,2020,,神戸市,保健・医療・福祉、社会教育、農山漁村・中山間地域、男女共同参画、科学技術
1182,特定非営利活動法人どんぐりネットワーク,13.7,1千万～,0.8,5.9,0.5,0.3,0.0,12.9,0.0,2,2017,,香川県,社会教育、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、NPO支援
1183,まほろば教育事業団,13.7,1千万～,11.6,84.8,6.1,5.5,0.0,2.1,3.4,,unknown,○,東京都,社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、科学技術、職業能力・雇用機会、NPO支援
1184,特定非営利活動法人大阪精神医療人権センター,13.7,1千万～,8.6,63.0,5.9,2.7,2.2,2.9,16.4,1,2024,○,大阪市,保健・医療・福祉、社会教育、まちづくり、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、NPO支援
1185,縁がわ,13.7,1千万～,0.0,0.0,0.0,0.0,0.9,12.7,13.9,1,2016,,静岡県,保健・医療・福祉
1186,フードバンク信州,13.7,1千万～,4.6,33.4,3.9,0.6,9.0,0.0,15.7,,2024,○,長野県,保健・医療・福祉、社会教育、まちづくり、農山漁村・中山間地域、環境の保全、災害救援、子どもの健全育成、NPO支援
1187,日本ポーテージ協会,13.7,1千万～,3.4,25.0,1.1,2.4,0.0,10.1,15.3,,unknown,○,東京都,保健・医療・福祉、国際協力・交流、子どもの健全育成
1188,特定非営利活動法人　アンガージュマン・よこすか,13.6,1千万～,0.8,5.8,0.4,0.3,2.7,10.2,11.7,,2024,○,神奈川県,社会教育、子どもの健全育成、NPO支援
1189,ノーモア・ヒバクシャ記憶遺産を継承する会,13.5,1千万～,13.1,97.0,10.6,2.5,0.4,0.0,9.4,,unknown,○,東京都,社会教育、学術・文化・芸術・スポーツ、人権の擁護・平和、国際協力・交流、NPO支援
1190,ワークショップコスモス,13.5,1千万～,0.5,3.6,0.0,0.5,10.5,2.5,14.1,2,2023,,名古屋市,保健・医療・福祉、社会教育、職業能力・雇用機会
1191,特定非営利活動法人仙台傾聴の会,13.4,1千万～,1.2,9.1,0.3,0.9,11.7,0.5,12.4,,2024,○,宮城県,保健・医療・福祉、社会教育、まちづくり、災害救援、地域安全、人権の擁護・平和、男女共同参画、子どもの健全育成、NPO支援
1192,ＮＰＯ法人日本血管映像化研究機構,13.4,1千万～,6.7,49.7,5.9,0.7,0.0,6.7,12.3,,2024,○,大阪市,保健・医療・福祉、学術・文化・芸術・スポーツ、科学技術、NPO支援
