財務データのあるNPO法人 収入ランキング（2324団体）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
順位,法人名,"総収入
(百万円)",ステージ,"寄付+会費
(百万円)","寄付+会費比
(%)","受取寄附金
(百万円)","受取会費
(百万円)","受取助成金等
(百万円)","事業収益
(百万円)","経常費用
(百万円)",有給職員数,事業年度,認定状況,団体所在地(都道府県),活動分野
64,認定NPO法人活き生きネットワーク,310.4,1億～,24.6,7.9,24.0,0.6,1.7,280.6,277.9,,2024,○,静岡市,保健・医療・福祉、社会教育、まちづくり、子どもの健全育成、職業能力・雇用機会、NPO支援
65,日本ＮＰＯセンター,303.1,1億～,193.1,63.7,178.2,14.9,1.2,108.8,307.3,,unknown,○,東京都,NPO支援
66,ＮＰＯ法人　チャレンジドサポートプロジェクト,300.8,1億～,0.6,0.2,0.6,0.0,248.7,51.2,0.0,,2024,○,川崎市,保健・医療・福祉、子どもの健全育成
67,特定非営利活動法人　つづき区民交流協会,297.4,1億～,1.7,0.6,1.7,0.1,251.6,38.7,291.6,,2024,○,横浜市,まちづくり、子どもの健全育成
68,日本ファンドレイジング協会,297.3,1億～,40.6,13.7,8.6,32.1,99.4,157.1,280.4,,unknown,○,東京都,社会教育、NPO支援
69,特定非営利活動法人国際レスキューシステム研究機構,296.6,1億～,0.3,0.1,0.3,0.0,0.0,267.1,265.2,5,2018,,兵庫県,社会教育、災害救援、国際協力・交流、NPO支援
70,日本セルプセンター,295.5,1億～,19.3,6.5,1.5,17.8,75.5,199.4,281.4,,unknown,○,東京都,保健・医療・福祉、社会教育、国際協力・交流、NPO支援
71,東北海道スポーツコミッション,295.1,1億～,0.2,0.1,0.0,0.2,0.0,294.9,293.7,20,2024,,北海道,保健・医療・福祉、社会教育、まちづくり、観光、学術・文化・芸術・スポーツ、国際協力・交流、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
72,特定非営利活動法人Ｇ．Ｈ．ネットワーク,293.4,1億～,0.0,0.0,0.0,0.0,16.1,277.2,312.0,38,2021,,千葉県,保健・医療・福祉、社会教育、まちづくり
73,NPO法人京都フォーライフ,288.0,1億～,1.5,0.5,0.9,0.6,38.5,246.6,231.7,18,2019,,京都府,保健・医療・福祉、人権の擁護・平和、経済活動の活性化、職業能力・雇用機会、NPO支援
74,Ryouiku Circleはなはな,284.3,1億～,0.0,0.0,0.0,0.0,1.0,282.4,241.3,43,2024,,鹿児島県,保健・医療・福祉、社会教育、まちづくり、子どもの健全育成、職業能力・雇用機会
75,特定非営利活動法人ＤxＰ,283.8,1億～,253.2,89.2,253.2,0.1,25.9,2.4,368.3,,2024,○,大阪府,社会教育、人権の擁護・平和、子どもの健全育成、職業能力・雇用機会
76,特定非営利活動法人よりあい倶楽部,283.6,1億～,0.1,0.0,0.0,0.1,6.8,276.0,268.2,40,2022,,大阪府,保健・医療・福祉
77,特定非営利活動法人Ｈｏｍｅｄｏｏｒ,281.1,1億～,66.3,23.6,66.3,0.0,8.0,195.6,270.2,,2024,○,大阪市,保健・医療・福祉、社会教育、まちづくり、環境の保全、人権の擁護・平和、経済活動の活性化、職業能力・雇用機会、NPO支援
78,日本国際ボランティアセンター,280.0,1億～,189.5,67.7,184.1,5.4,87.5,0.0,245.7,,unknown,○,東京都,社会教育、環境の保全、災害救援、人権の擁護・平和、国際協力・交流、男女共同参画、NPO支援
79,えひめ障害者ヘルパーセンター,279.2,1億～,1.6,0.6,1.3,0.3,0.8,276.5,265.0,34,2024,,愛媛県,保健・医療・福祉
80,ＡＣＥ,278.3,1億～,140.8,50.6,135.6,5.1,16.2,119.3,266.4,,unknown,○,東京都,社会教育、災害救援、人権の擁護・平和、国際協力・交流、子どもの健全育成、経済活動の活性化、消費者の保護、NPO支援
81,ＰＣＮＥＴ,277.3,1億～,0.0,0.0,0.0,0.0,14.9,261.8,266.4,38,2017,,北海道,保健・医療・福祉、情報化社会、職業能力・雇用機会、NPO支援
82,特定非営利活動法人横浜こどもホスピスプロジェクト,275.3,1億～,260.5,94.6,234.8,25.7,12.2,1.5,80.3,,2024,○,横浜市,保健・医療・福祉、社会教育、子どもの健全育成
83,難民支援協会,274.7,1億～,257.0,93.5,256.3,0.7,12.9,4.7,227.7,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、災害救援、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、職業能力・雇用機会、NPO支援
84,ハンガー・フリー・ワールド,270.3,1億～,269.5,99.7,260.5,9.0,0.0,0.1,265.9,,unknown,○,東京都,国際協力・交流
85,特定非営利活動法人　ほっとサポート　てんとうむし,270.1,1億～,0.4,0.1,0.0,0.4,3.6,265.9,244.2,,2024,○,埼玉県,保健・医療・福祉、社会教育、まちづくり、地域安全、子どもの健全育成
86,ジョイ・コム,267.7,1億～,2.0,0.8,2.0,0.0,0.0,263.7,0.0,,2024,○,和歌山県,保健・医療・福祉、社会教育、まちづくり、経済活動の活性化、職業能力・雇用機会、NPO支援
87,セカンドハーベスト・ジャパン,260.5,1億～,190.2,73.0,188.5,1.7,53.5,6.0,210.6,,unknown,○,東京都,まちづくり、災害救援、人権の擁護・平和、国際協力・交流
88,浜松政令市医師会,259.1,1億～,8.2,3.2,0.0,8.2,0.0,250.7,251.9,3,2024,,浜松市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、災害救援、子どもの健全育成、NPO支援
89,特定非営利活動法人リハケア神戸,258.6,1億～,0.0,0.0,0.0,0.0,0.9,257.5,285.7,41,2018,,神戸市,保健・医療・福祉
90,たんぽぽの会,257.8,1億～,6.0,2.3,5.0,1.0,16.4,234.1,245.8,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、子どもの健全育成、NPO支援
91,特定非営利活動法人育てネット,257.7,1億～,0.4,0.2,0.0,0.4,0.0,251.4,232.4,,2024,○,埼玉県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、NPO支援
92,特定非営利活動法人スチューデント・サポート・フェイス,257.4,1億～,1.2,0.5,0.9,0.3,1.9,245.8,277.8,,2024,○,佐賀県,保健・医療・福祉、社会教育、子どもの健全育成、情報化社会、職業能力・雇用機会、NPO支援
93,特定非営利活動法人いわき自立生活センター,257.4,1億～,0.2,0.1,0.1,0.1,10.2,233.7,272.7,,2024,○,福島県,保健・医療・福祉
94,認定特定非営利活動法人さいたまユースサポートネット,254.7,1億～,5.9,2.3,5.8,0.1,56.8,1.5,255.2,,2024,○,さいたま市,保健・医療・福祉、社会教育、まちづくり、子どもの健全育成、職業能力・雇用機会
95,たすけあい名古屋,246.4,1億～,2.6,1.1,0.6,2.0,4.7,237.7,257.6,40,2017,,名古屋市,保健・医療・福祉、まちづくり、子どもの健全育成、職業能力・雇用機会、NPO支援
96,デイサービスこのゆびとーまれ,245.5,1億～,1.7,0.7,1.6,0.1,6.2,235.0,226.4,35,2012,,富山県,保健・医療・福祉
97,特定非営利活動法人　やまがた育児サークルランド,243.5,1億～,0.6,0.3,0.1,0.5,0.0,200.8,2.4,,2024,○,山形県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、NPO支援
98,日本免疫学会,242.2,1億～,0.0,0.0,0.0,0.0,1.6,0.0,0.0,,unknown,○,東京都,保健・医療・福祉、学術・文化・芸術・スポーツ、NPO支援
99,特定非営利活動法人　ことぶき介護,242.0,1億～,0.2,0.1,0.0,0.2,0.0,241.0,221.6,,2021,,横浜市,保健・医療・福祉、NPO支援
100,どんぐり福祉会,241.5,1億～,0.3,0.1,0.1,0.2,5.6,233.8,225.8,,2024,,長野県,保健・医療・福祉、職業能力・雇用機会
101,アスクネット,240.6,1億～,0.9,0.4,0.2,0.7,0.0,231.8,207.8,,2024,○,名古屋市,社会教育、まちづくり、子どもの健全育成
102,特定非営利活動法人オールしずおかベストコミュニティ,239.1,1億～,4.3,1.8,0.2,4.1,7.4,227.3,241.3,,2024,○,静岡市,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、経済活動の活性化、職業能力・雇用機会、NPO支援
103,ＮＰＯ法人光楽園,237.2,1億～,2.9,1.2,2.8,0.2,4.7,223.1,238.0,,2024,○,北九州市,保健・医療・福祉、まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成、NPO支援
104,特定非営利活動法人　中部フィルハーモニー交響楽団,235.3,1億～,60.2,25.6,16.0,44.2,9.1,165.1,235.5,,2024,○,愛知県,学術・文化・芸術・スポーツ
105,特定非営利活動法人　犬山あんきにくらそう会,234.6,1億～,8.2,3.5,7.6,0.6,2.2,125.9,140.9,21,2021,○,愛知県,保健・医療・福祉、子どもの健全育成
106,みなと障がい者福祉事業団,233.1,1億～,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,unknown,○,東京都,保健・医療・福祉、人権の擁護・平和、職業能力・雇用機会
107,美作自立支援センター,232.0,1億～,0.0,0.0,0.0,0.0,143.5,76.2,223.4,20,2022,,岡山県,保健・医療・福祉、社会教育、まちづくり、農山漁村・中山間地域、環境の保全、災害救援、地域安全、人権の擁護・平和、子どもの健全育成、職業能力・雇用機会、NPO支援
